"Libellé";"Nombre de créations d'entreprises - Paris - Données mensuelles brutes";"Codes"
"idBank";"001564260";""
"Période";"";""
"2002-05";"1641";"A"
"2002-04";"2480";"A"
"2002-03";"1946";"A"
"2002-02";"1976";"A"
"2002-01";"2260";"A"
"2001-12";"1933";"A"
"2001-11";"1756";"A"
"2001-10";"2153";"A"
"2001-09";"1442";"A"
"2001-08";"1586";"A"
"2001-07";"1976";"A"
"2001-06";"1810";"A"
"2001-05";"2062";"A"
"2001-04";"2141";"A"
"2001-03";"2297";"A"
"2001-02";"2242";"A"
"2001-01";"2321";"A"
"2000-12";"1989";"A"
"2000-11";"1912";"A"
"2000-10";"2318";"A"
"2000-09";"1571";"A"
"2000-08";"1929";"A"
"2000-07";"2053";"A"
"2000-06";"1929";"A"
"2000-05";"2337";"A"
"2000-04";"2299";"A"
"2000-03";"2530";"A"
"2000-02";"2169";"A"
"2000-01";"2289";"A"
